srcname; en; en_wlo; en_wup; nufnu; nufnu_elo; nufnu_eup; tstart; tstop; texpo; instrument; dataformat; comments
NGC1275; 55.16509756955414;   49.99999999999999;   60.86375979716855;    5.91539973e-08;  8.69489329e-09;  8.55251531e-09; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 67.15110495321423;   60.86375979716855;   74.08794513294865;    4.10605997e-08;  3.61027624e-09;  3.5550984e-09;  57753;  57754;   ;  MAGIC;  "";
NGC1275; 81.7413744397377;    74.08794513294865;   90.18541792875175;    2.41974025e-08;  1.54040327e-09;  1.51309906e-09; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 99.50174758781212;   90.18541792875175;   109.78047228045614;   1.31751807e-08;  7.82365266e-10;  7.67024659e-10; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 121.12100929166189;  109.78047228045614;  133.633045905948;     7.88373347e-09;  4.60881716e-10;  4.5103056e-10;  57753;  57754;   ;  MAGIC;  "";
NGC1275; 147.43760031836652;  133.633045905948;    162.66819213967227;   4.38720506e-09;  2.68319563e-10;  2.61503489e-10; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 179.47213381695997;  162.66819213967227;  198.0119554605734;    3.21879139e-09;  1.81165217e-10;  1.76329065e-10; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 218.46697685841494;  198.0119554605734;   241.03504188239967;   1.90201988e-09;  1.10368896e-10;  1.0701398e-10;  57753;  57754;   ;  MAGIC;  "";
NGC1275; 265.93443206248287;  241.03504188239967;  293.40597783661684;   1.13516038e-09;  7.13504664e-11;  6.88877137e-11; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 323.7153878969481;   293.40597783661684;  357.155819162024;     6.91513031e-10;  4.74439467e-11;  4.5633902e-11;  57753;  57754;   ;  MAGIC;  "";
NGC1275; 394.05071223214196;  357.155819162024;    434.7569197527681;    3.72998525e-10;  2.86591988e-11;  2.73391942e-11; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 479.6681579440053;   434.7569197527681;   529.2188146797871;    2.23229517e-10;  1.91105716e-11;  1.8146682e-11;  57753;  57754;   ;  MAGIC;  "";
NGC1275; 583.8881509490847;   529.2188146797871;   644.2049363362561;    1.1185256e-10;   1.20867083e-11;  1.13761638e-11; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 710.7525633555593;   644.2049363362561;   784.1746901064026;    7.63516636e-11;  8.58778312e-12;  8.01391094e-12; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 865.1814658258913;   784.1746901064026;   954.5563995531039;    3.41269032e-11;  5.11088547e-12;  4.70089608e-12; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 1053.1639383397853;  954.5563995531039;   1161.957828305003;    1.4601082e-11;   2.75552834e-12;  2.45717712e-12; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 1281.9903394030541;  1161.957828305003;   1414.4224431279056;   5.96018332e-12;  1.53286514e-12;  1.33470311e-12; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 1560.5350415943622;  1414.4224431279056;  1721.7413566052237;   2.51647728e-12;  8.2350139e-13;   6.81686591e-13; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 1899.600598533273;   1721.7413566052237;  2095.83304722543;     7.94607317e-13;  4.42491356e-13;  3.32925092e-13; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 2312.3366907937357;  2095.83304722543;    2551.2055832259266;   3.19934093e-13;  2.5311738e-13;   1.77679844e-13; 57753;  57754;   ;  MAGIC;  "";
NGC1275; 2814.750098372992;   2551.2055832259266;  3105.5192762131664;   5.82706719e-14;  1.21145971e-13;  nan;            57753;  57754;   ;  MAGIC;  "";
NGC1275; 3426.3254775286055;  3105.5192762131664;  3780.271585458296;    4.53596132e-29;  1.91071346e-14;  nan;            57753;  57754;   ;  MAGIC;  "";
NGC1275; 4170.781017024403;   3780.271585458296;   4601.630834907904;    1.28867677e-19;  7.10558528e-15;  nan;            57753;  57754;   ;  MAGIC;  "";
NGC1275; 5076.988279735261;   4601.630834907904;   5601.451076221574;    2.10422774e-20;  1.97246934e-15;  nan;            57753;  57754;   ;  MAGIC;  "";
NGC1275; 6180.091903016947;   5601.451076221574;   6818.507456374819;    2.55428283e-21;  nan;             nan;            57753;  57754;   ;  MAGIC;  "";
NGC1275; 7522.872582192978;   6818.507456374819;   8299.99999999999;     2.16119827e-22;  nan;             nan;            57753;  57754;   ;  MAGIC;  "";

                                                   ​
