srcname; en; en_wlo; en_wup; nufnu; nufnu_elo; nufnu_eup; tstart; tstop; texpo; instrument; dataformat; comments
NGC1275;  57.943946011461804;  49.99999999999999;  67.15001758758397;   8.638344111320281e-09;   1.172491291032392e-09;   1.1761332307967003e-09;  ;  ;  ;  MAGIC;  "";
NGC1275;  77.8187398752735;    67.15001758758397;  90.1824972402568;    2.9730476774073626e-09;  2.6479451429178437e-10;  2.657101012125766e-10;   ;  ;  ;  MAGIC;  "";
NGC1275;  104.5105950253649;   90.1824972402568;   121.11512551550982;  1.2822559023020325e-09;  8.729518391691495e-11;   8.76992609684299e-11;    ;  ;  ;  MAGIC;  "";
NGC1275;  140.35776588084235;  121.11512551550982; 162.6576561697786;   5.469378488395916e-10;   3.53194815495362e-11;    3.554880178303774e-11;   ;  ;  ;  MAGIC;  "";
NGC1275;  188.50052894905144;  162.6576561697786;  218.4492894511165;   2.5435656078901793e-10;  1.6253455543191352e-11;  1.6405300430686655e-11;  ;  ;  ;  MAGIC;  "";
NGC1275;  253.15627668395365;  218.4492894511165;  293.3774725727541;   9.058405779031109e-11;   7.0044466103454895e-12;  7.099115873970948e-12;   ;  ;  ;  MAGIC;  "";
NGC1275;  339.9889686346954;   293.3774725727541;  394.00604886122727;  3.713159586930833e-11;   3.1345712588829766e-12;  3.1930032813884214e-12;  ;  ;  ;  MAGIC;  "";
NGC1275;  456.60530446808696;  394.00604886122727; 529.1502622129184;   1.2572593471703359e-11;  1.3866428383414954e-12;  1.4253359295319813e-12;  ;  ;  ;  MAGIC;  "";
NGC1275;  613.2210845123233;   529.1502622129184;  710.648988281442;    5.6334331446482315e-12;  7.262101325130958e-13;   7.530020606617684e-13;   ;  ;  ;  MAGIC;  "";
NGC1275;  823.5561322015969;   710.648988281442;   954.4018412339532;   1.9910939535947605e-12;  3.2152825057195323e-13;  3.373767014837426e-13;   ;  ;  ;  MAGIC;  "";
NGC1275;  1106.036175233998;   954.4018412339532;  1281.7620084896494;  2.2438200012502841e-13;  1.199095578610298e-13;   1.282916315131591e-13;   ;  ;  ;  MAGIC;  "";
NGC1275;  1485.406972389341;   1281.7620084896494; 1721.4068282635392;  5.623198721498343e-14;   nan;                     6.192120820975505e-14;   ;  ;  ;  MAGIC;  "";
NGC1275;  1994.9020864132854;  1721.4068282635392; 2311.849975865677;   4.413723393835106e-14;   2.6814048029687813e-14;  3.007143806105029e-14;   ;  ;  ;  MAGIC;  "";
NGC1275;  2679.1542037632007;  2311.849975865677;  3104.8153307847156;  2.340935912102164e-17;   nan;                     7.107309094552121e-15;   ;  ;  ;  MAGIC;  "";
NGC1275;  3598.1050380509746;  3104.8153307847156; 4169.768081367886;   2.858842779023173e-15;   2.298056151619882e-15;   nan;                     ;  ;  ;  MAGIC;  "";
NGC1275;  4832.256331741947;   4169.768081367886;  5599.9999999999945;  1.9709125166902823e-16;  nan;                     nan;                     ;  ;  ;  MAGIC;  "";

