srcname; en; en_wlo; en_wup; nufnu; nufnu_elo; nufnu_eup; tstart; tstop; texpo; instrument; dataformat; comments
NGC1275; 59.17746568781277;  49.99999999999999;  70.03944890464518;  2.0098666975211326e-08;  3.7026401940325594e-09;   3.741215911163956e-09;  ;  ;    ;  MAGIC;  "";
NGC1275; 82.89514168695918;  70.03944890464518;  98.11048805732814;  9.195231771909845e-09;   7.332871861132159e-10;    7.423782157394776e-10;  ;  ;    ;  MAGIC;  "";
NGC1275; 116.11860081254207; 98.11048805732814;  137.43209030602068; 3.9806743061614845e-09;  2.5424085869616116e-10;   2.585730853761327e-10;  ;  ;    ;  MAGIC;  "";
NGC1275; 162.6576561697786;  137.43209030602068; 192.51335733694248; 2.0601628596609585e-09;  1.154325202023842e-10;    1.181255796452618e-10;  ;  ;    ;  MAGIC;  "";
NGC1275; 227.84905196505096; 192.51335733694248; 269.6705890932496;  8.003064667313324e-10;   4.83424771812378e-11;     4.9873665994736425e-11; ;  ;    ;  MAGIC;  "";
NGC1275; 319.16844066156085; 269.6705890932496;  377.75158891764465; 3.68860882601069e-10;    2.5347057963440817e-11;   2.6347166632526103e-11; ;  ;    ;  MAGIC;  "";
NGC1275; 447.08763383381364; 377.75158891764465; 529.1502622129184;  1.1909330261509425e-10;  1.0203931850693624e-11;   1.0779354478567325e-11; ;  ;    ;  MAGIC;  "";
NGC1275; 626.2754297160426;  529.1502622129184;  741.2278550628258;  3.458980599351418e-11;   4.502919975554893e-12;    4.865017188148484e-12;  ;  ;    ;  MAGIC;  "";
NGC1275; 877.2797191966291;  741.2278550628258;  1038.3038096274513; 8.032543281735327e-12;   1.4843311457985256e-12;   1.6601334387516399e-12; ;  ;    ;  MAGIC;  "";
NGC1275; 1228.8837613550752; 1038.3038096274513; 1454.444532438006;  1.2309378052929374e-12;  4.589784109016367e-13;    5.526699124121588e-13;  ;  ;    ;  MAGIC;  "";
NGC1275; 1721.4068282635408; 1454.444532438006;  2037.3698702866468; 1.483679143307795e-13;   8.20629937184351e-14;     1.1689965581157735e-13; ;  ;    ;  MAGIC;  "";
NGC1275; 2411.327711845431;  2037.3698702866468; 2853.9252585961003; 1.456072827301968e-19;   nan;                      6.761322858480006e-15;  ;  ;    ;  MAGIC;  "";
NGC1275; 3377.7612813230603; 2853.9252585961003; 3997.747046542356;  2.8859094760305393e-21;  nan;                      6.061314438646017e-16;  ;  ;    ;  MAGIC;  "";
NGC1275; 4731.530773506301;  3997.747046542356;  5599.9999999999945; 1.5173096267766285e-23;  nan;                      nan;                    ;  ;    ;  MAGIC;  "";
